1    |Code: LITYRV   |Title: About_Last_Night...   |Type: W   |Available copies: 4   |Adaptation: ALL   |Ownership: Hachirama
2    |Code: DUPZGD   |Title: About_Schmidt   |Type: D   |Available copies: 4   |Adaptation: A   |Ownership: Hachirama
3    |Code: PNCOKG   |Title: Abraham_Lincoln:_Vampire_Hunter   |Type: AN   |Available copies: 1   |Adaptation: ALL   |Ownership: Steph
4    |Code: APPSGY   |Title: Absence_of_Malice   |Type: O   |Available copies: 2   |Adaptation: K   |Ownership: Zack
5    |Code: RPSRDD   |Title: Absolute_Power   |Type: C   |Available copies: 2   |Adaptation: AD   |Ownership: Hachirama
6    |Code: CDNKSX   |Title: Accidental_Tourist_The   |Type: AN   |Available copies: 2   |Adaptation: ALL   |Ownership: Zack
7    |Code: XJFFHQ   |Title: Accused_The_(1988)   |Type: S   |Available copies: 5   |Adaptation: A   |Ownership: Lulu
8    |Code: TKRNSC   |Title: Ace_Ventura:_Pet_Detective   |Type: C   |Available copies: 4   |Adaptation: ALL   |Ownership: Hachirama
9    |Code: ZHQOJK   |Title: Ace_Ventura:_When_Nature_Calls   |Type: O   |Available copies: 2   |Adaptation: A   |Ownership: Zack
10    |Code: KTXQWX   |Title: Across_the_Universe   |Type: O   |Available copies: 2   |Adaptation: K   |Ownership: Zack
11    |Code: SJOTVW   |Title: Act_of_Valor   |Type: C   |Available copies: 5   |Adaptation: AD   |Ownership: Lulu
12    |Code: UBZUGW   |Title: Adam's_Rib   |Type: AN   |Available copies: 3   |Adaptation: ALL   |Ownership: Jeffy
13    |Code: IMMLYT   |Title: Addams_Family_The   |Type: AN   |Available copies: 2   |Adaptation: AD   |Ownership: Zack
14    |Code: LPYTMG   |Title: Adjustment_Bureau,_The   |Type: O   |Available copies: 2   |Adaptation: K   |Ownership: Zack
15    |Code: VJSGJJ   |Title: Adventures_of_Pinocchio_The_(1996)   |Type: AN   |Available copies: 5   |Adaptation: A   |Ownership: Lulu
16    |Code: ZSHMMF   |Title: Blow_Out   |Type: S   |Available copies: 0   |Adaptation: AD   |Ownership: Jeffy
17    |Code: GBGSFY   |Title: Blown_Away_(1994)   |Type: C   |Available copies: 1   |Adaptation: A   |Ownership: Steph
18    |Code: NMQQCB   |Title: Blue_Collar   |Type: C   |Available copies: 5   |Adaptation: K   |Ownership: Lulu
19    |Code: BGULES   |Title: Blue_Lagoon,_The   |Type: C   |Available copies: 3   |Adaptation: AD   |Ownership: Jeffy
20    |Code: PTMFWV   |Title: Blue_Jasmine   |Type: AN   |Available copies: 1   |Adaptation: K   |Ownership: Steph
21    |Code: GIXHWR   |Title: Blue_Velvet   |Type: S   |Available copies: 5   |Adaptation: ALL   |Ownership: Lulu
22    |Code: ACRVOP   |Title: Blue's_Big_Musical_Movie   |Type: C   |Available copies: 5   |Adaptation: K   |Ownership: Lulu
23    |Code: VWVIBY   |Title: Casablanca   |Type: O   |Available copies: 3   |Adaptation: AD   |Ownership: Jeffy
24    |Code: AFNHIQ   |Title: Casanova   |Type: O   |Available copies: 1   |Adaptation: ALL   |Ownership: Steph
25    |Code: STEBTV   |Title: Casino   |Type: C   |Available copies: 1   |Adaptation: A   |Ownership: Steph
26    |Code: OISVGA   |Title: Cast_Away   |Type: AN   |Available copies: 4   |Adaptation: ALL   |Ownership: Hachirama
27    |Code: ZENBEZ   |Title: Casualties_of_War   |Type: AN   |Available copies: 3   |Adaptation: A   |Ownership: Jeffy
28    |Code: RNUDVB   |Title: Deliver_Us_from_Evil_(2014)   |Type: O   |Available copies: 3   |Adaptation: K   |Ownership: Jeffy
29    |Code: NMLPFE   |Title: Deliverance   |Type: AN   |Available copies: 1   |Adaptation: AD   |Ownership: Steph
30    |Code: RPEUEP   |Title: Den_Brother   |Type: C   |Available copies: 3   |Adaptation: ALL   |Ownership: Hachirama
31    |Code: BMPOTE   |Title: Departed,_The   |Type: C   |Available copies: 4   |Adaptation: AD   |Ownership: Hachirama
32    |Code: EBEVSO   |Title: Der_Fuehrer's_Face   |Type: AN   |Available copies: 2   |Adaptation: K   |Ownership: Zack
33    |Code: HEIAUE   |Title: Descendants,_The   |Type: S   |Available copies: 1   |Adaptation: A   |Ownership: Steph
34    |Code: OCESFS   |Title: Descendants_2   |Type: S   |Available copies: 1   |Adaptation: AD   |Ownership: Steph
35    |Code: CIYFCJ   |Title: Descent   |Type: C   |Available copies: 4   |Adaptation: A   |Ownership: Hachirama
36    |Code: BLGVYO   |Title: Desperate_Living   |Type: O   |Available copies: 2   |Adaptation: K   |Ownership: Zack
37    |Code: BVQQAO   |Title: Desperaux_The_Tale_of   |Type: AN   |Available copies: 2   |Adaptation: AD   |Ownership: Zack
38    |Code: MXUDPJ   |Title: Despicable_Me   |Type: O   |Available copies: 5   |Adaptation: ALL   |Ownership: Lulu
39    |Code: VGNEYS   |Title: Despicable_Me_2   |Type: C   |Available copies: 4   |Adaptation: K   |Ownership: Hachirama
40    |Code: SLBQGE   |Title: Despicable_Me_3   |Type: AN   |Available copies: 4   |Adaptation: AD   |Ownership: Hachirama
41    |Code: TEPYJL   |Title: Destry_Rides_Again   |Type: O   |Available copies: 2   |Adaptation: ALL   |Ownership: Zack
42    |Code: TPIHUG   |Title: Deuce_Bigalow:_European_Gigolo   |Type: S   |Available copies: 5   |Adaptation: A   |Ownership: Lulu
43    |Code: ETDZSZ   |Title: Deuce_Bigalow:_Male_Gigolo   |Type: W   |Available copies: 5   |Adaptation: ALL   |Ownership: Lulu
44    |Code: URYXGZ   |Title: Harry_Potter_and_the_Sorcerer's_Stone   |Type: C   |Available copies: 4   |Adaptation: A   |Ownership: Hachirama
45    |Code: TLUBNC   |Title: Harry_Potter_and_the_Chamber_of_Secrets   |Type: O   |Available copies: 2   |Adaptation: K   |Ownership: Zack
46    |Code: FJANSY   |Title: Harry_Potter_and_the_Prisoner_of_Azkaban   |Type: AN   |Available copies: 5   |Adaptation: AD   |Ownership: Lulu
47    |Code: DXZSTD   |Title: Harry_Potter_and_the_Goblet_of_Fire   |Type: C   |Available copies: 5   |Adaptation: ALL   |Ownership: Lulu
48    |Code: DFQQXN   |Title: Harry_Potter_and_the_Order_of_the_Phoenix   |Type: W   |Available copies: 3   |Adaptation: AD   |Ownership: Jeffy
49    |Code: RNZZKE   |Title: Harry_Potter_and_the_Half-Blood_Prince   |Type: O   |Available copies: 2   |Adaptation: AD   |Ownership: Zack
50    |Code: GHMYXB   |Title: Ice_Age   |Type: W   |Available copies: 5   |Adaptation: K   |Ownership: Lulu
51    |Code: PIGHQX   |Title: Ice_Age:_The_Meltdown   |Type: C   |Available copies: 3   |Adaptation: A   |Ownership: Jeffy
52    |Code: BEIKPZ   |Title: Ice_Age:_Dawn_of_the_Dinosaurs   |Type: AN   |Available copies: 1   |Adaptation: AD   |Ownership: Steph
